word,history,part_of_speech
coisa,,substantivo feminino
coiso,,substantivo masculino
coita,,substantivo feminino
coite,,
coito,,substantivo masculino
colai,,
colam,,
colar,,verbo transitivo
colas,,
colei,,
colem,,
coles,,
colma,,feminino
colmo,,substantivo masculino
colon,,substantivo masculino
colou,,
colza,,substantivo feminino
comam,,
comas,,
combe,,
combo,,substantivo masculino
comer,,verbo transitivo direto
comes,,substantivo masculino plural
comeu,,
comia,,
comua,,substantivo feminino
comum,,adjetivo
conar,,
conas,,
conca,,substantivo feminino
conde,,substantivo masculino
congo,,substantivo masculino
conha,,substantivo feminino
conho,,substantivo masculino
conta,,substantivo feminino
conte,,
conto,,substantivo masculino
copam,,
copao,,
copar,,verbo transitivo
copas,,substantivo feminino plural
copia,,substantivo feminino
copie,,
copio,,substantivo masculino
copla,,substantivo feminino
copom,,
copra,,substantivo feminino
copta,,adjetivo
coque,,substantivo masculino
corai,,
coral,,substantivo masculino
coram,,
corao,,
corar,,verbo transitivo
coras,,substantivo masculino
corca,,substantivo feminino
corco,,substantivo masculino
corda,,substantivo feminino
corei,,
corem,,
cores,,
corga,,feminino
corgo,,substantivo masculino
corja,,substantivo feminino
corne,,substantivo masculino
corno,,substantivo masculino
coroa,,substantivo feminino
coros,,
corou,,
corpo,,substantivo masculino
corra,,substantivo masculino
corre,,substantivo feminino
corri,,
corro,,substantivo masculino
corso,,substantivo masculino
corta,,substantivo feminino
corte,,substantivo feminino
corto,,adjetivo
corva,,
corvo,,substantivo masculino
cosca,,substantivo feminino
cosco,,substantivo masculino
coser,,"verbo transitivo direto, bitransitivo e intransitivo"
coseu,,
cosma,,
cosme,,
cosmo,,substantivo masculino
costa,,substantivo feminino
costo,,substantivo masculino
cotao,,substantivo masculino
cotar,,verbo transitivo direto
cotas,,substantivo feminino plural
cotia,,substantivo feminino
cotra,,feminino
coube,,
couce,,substantivo masculino
coupe,,substantivo masculino
coura,,substantivo feminino
couro,,substantivo masculino
cousa,,substantivo feminino
couto,,substantivo masculino
couve,,substantivo feminino
covas,,
covil,,substantivo masculino
